iter	Passed	Remaining
1341	46749	2635217
1342	46791	2635573
1343	46839	2636292
1344	46875	2636294
1345	46908	2636207
1346	46945	2636250
1347	46977	2636090
1348	47011	2635963
1349	47044	2635831
1350	47077	2635703
1351	47110	2635586
1352	47143	2635434
1353	47175	2635254
1354	47208	2635098
1355	47243	2635090
1356	47277	2635005
1357	47309	2634786
1358	47341	2634617
1359	47372	2634386
1360	47407	2634327
1361	47440	2634194
1362	47477	2634312
1363	47511	2634210
1364	47542	2633974
1365	47575	2633827
1366	47608	2633661
1367	47641	2633550
1368	47675	2633459
1369	47708	2633319
1370	47740	2633130
1371	47771	2632921
1372	47803	2632725
1373	47836	2632599
1374	47868	2632406
1375	47902	2632296
1376	47936	2632238
1377	47970	2632145
1378	48004	2632060
1379	48037	2631928
1380	48070	2631805
1381	48105	2631758
1382	48139	2631683
1383	48174	2631687
1384	48207	2631553
1385	48240	2631406
1386	48273	2631266
1387	48307	2631169
1388	48342	2631164
1389	48378	2631205
1390	48411	2631071
1391	48443	2630855
1392	48475	2630715
1393	48508	2630579
1394	48543	2630519
1395	48578	2630492
1396	48612	2630412
1397	48645	2630285
1398	48677	2630129
1399	48710	2629987
1400	48744	2629885
1401	48778	2629814
1402	48812	2629769
1403	48846	2629695
1404	48879	2629539
1405	48914	2629521
1406	48956	2629871
1407	48999	2630259
1408	49039	2630497
1409	49084	2631016
1410	49130	2631578
1411	49177	2632232
1412	49213	2632247
1413	49250	2632306
1414	49284	2632258
1415	49317	2632123
1416	49350	2631990
1417	49384	2631903
1418	49418	2631844
1419	49450	2631638
1420	49481	2631393
1421	49514	2631277
1422	49545	2631036
1423	49578	2630885
1424	49612	2630831
1425	49645	2630677
1426	49677	2630516
1427	49712	2630463
1428	49766	2631485
1429	49801	2631439
1430	49834	2631292
1431	49867	2631195
1432	49903	2631190
1433	49934	2630974
1434	49968	2630899
1435	50001	2630755
1436	50038	2630835
1437	50079	2631141
1438	50118	2631310
1439	50157	2631476
1440	50195	2631646
1441	50229	2631534
1442	50263	2631449
1443	50297	2631378
1444	50330	2631254
1445	50363	2631121
1446	50397	2631047
1447	50430	2630933
1448	50462	2630748
1449	50509	2631336
1450	50544	2631287
1451	50576	2631118
1452	50609	2630991
1453	50645	2631044
1454	50679	2630942
